输入值,主机,结论,通过项数,总项数,失败项数,通过率(%),全绿,失败项列表,DNS成功,解析IP列表,端口53成功,端口53耗时毫秒,端口53Banner,端口53错误,端口80成功,端口80耗时毫秒,端口80Banner,端口80错误,端口443成功,端口443耗时毫秒,端口443Banner,端口443错误,端口25成功,端口25耗时毫秒,端口25Banner,端口25错误,端口587成功,端口587耗时毫秒,端口587Banner,端口587错误,端口465成功,端口465耗时毫秒,端口465Banner,端口465错误,HTTP成功,HTTP状态码,HTTP耗时毫秒,HTTP服务器,HTTP标题,HTTP错误,HTTPS成功,HTTPS状态码,HTTPS耗时毫秒,HTTPS服务器,HTTPS标题,HTTPS错误
170.225.215.14,170.225.215.14,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,170.225.215.14,False,3038,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,193,,,True,186,,,True,376,220 fra.collaborator.x-force.io Burp Collaborator Server ready,,True,382,220 fra.collaborator.x-force.io Burp Collaborator Server ready,,False,634,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '170.225.215.14'. (_ssl.c:992)",True,200,386,Burp Collaborator https://burpcollaborator.net/,,,True,200,1000,Burp Collaborator https://burpcollaborator.net/,,
35.182.250.134,35.182.250.134,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,35.182.250.134,False,3239,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,236,,,True,240,,,True,467,220 collab.xanthus.dev Burp Collaborator Server ready,,True,480,220 collab.xanthus.dev Burp Collaborator Server ready,,False,578,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '35.182.250.134'. (_ssl.c:992)",True,200,590,Burp Collaborator https://burpcollaborator.net/,,,True,200,1349,Burp Collaborator https://burpcollaborator.net/,,
217.154.124.212,217.154.124.212,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,217.154.124.212,False,3009,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,217,,,True,201,,,True,456,220 collabo.tarchimb.org Burp Collaborator Server ready,,True,379,220 collabo.tarchimb.org Burp Collaborator Server ready,,False,751,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '217.154.124.212'. (_ssl.c:992)",True,200,510,Burp Collaborator https://burpcollaborator.net/,,,True,200,1644,Burp Collaborator https://burpcollaborator.net/,,
34.231.38.158,34.231.38.158,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,34.231.38.158,False,3197,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,231,,,True,229,,,True,457,220 collaborator.redlens.link Burp Collaborator Server ready,,True,505,220 collaborator.redlens.link Burp Collaborator Server ready,,False,799,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '34.231.38.158'. (_ssl.c:992)",True,200,653,Burp Collaborator https://burpcollaborator.net/,,,True,200,1224,Burp Collaborator https://burpcollaborator.net/,,
https://199.247.7.198:8443,199.247.7.198,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,199.247.7.198,False,3077,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,208,,,True,212,,,True,398,220 colla.yoroi.company Burp Collaborator Server ready,,True,405,220 colla.yoroi.company Burp Collaborator Server ready,,False,502,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '199.247.7.198'. (_ssl.c:992)",True,200,1628,Burp Collaborator https://burpcollaborator.net/,,,True,200,1253,Burp Collaborator https://burpcollaborator.net/,,
167.71.68.76,167.71.68.76,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,167.71.68.76,False,3256,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,248,,,True,270,,,True,501,220 bc.cybercloud.io Burp Collaborator Server ready,,True,489,220 bc.cybercloud.io Burp Collaborator Server ready,,False,1035,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '167.71.68.76'. (_ssl.c:992)",True,200,733,Burp Collaborator https://burpcollaborator.net/,,,True,200,1620,Burp Collaborator https://burpcollaborator.net/,,
3.150.71.44,3.150.71.44,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,3.150.71.44,False,3145,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,228,,,True,216,,,True,1450,220 burp-ctr-01.schellman.info Burp Collaborator Server ready,,True,684,220 burp-ctr-01.schellman.info Burp Collaborator Server ready,,False,1218,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '3.150.71.44'. (_ssl.c:992)",True,200,534,Burp Collaborator https://burpcollaborator.net/,,,True,200,1013,Burp Collaborator https://burpcollaborator.net/,,
137.184.242.250,137.184.242.250,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,137.184.242.250,False,3524,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,228,,,True,230,,,True,638,220 e.sigint.nyc Burp Collaborator Server ready,,True,535,220 e.sigint.nyc Burp Collaborator Server ready,,False,1179,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '137.184.242.250'. (_ssl.c:992)",True,200,1817,Burp Collaborator https://burpcollaborator.net/,,,True,200,1125,Burp Collaborator https://burpcollaborator.net/,,
67.207.72.191,67.207.72.191,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,67.207.72.191,False,3320,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,259,,,True,252,,,True,515,220 collab.invokeshell.net Burp Collaborator Server ready,,True,508,220 collab.invokeshell.net Burp Collaborator Server ready,,False,973,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '67.207.72.191'. (_ssl.c:992)",True,200,670,Burp Collaborator https://burpcollaborator.net/,,,True,200,3341,Burp Collaborator https://burpcollaborator.net/,,
104.197.184.198,104.197.184.198,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,104.197.184.198,False,3470,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,282,,,True,262,,,True,603,220 oastly.com Burp Collaborator Server ready,,True,580,220 oastly.com Burp Collaborator Server ready,,False,1477,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '104.197.184.198'. (_ssl.c:992)",True,200,643,Burp Collaborator https://burpcollaborator.net/,,,True,200,2718,Burp Collaborator https://burpcollaborator.net/,,
213.164.30.187,213.164.30.187,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,213.164.30.187,False,6181,,timed out,True,255,,,True,322,,,True,435,220 bc-hackner-security.com Burp Collaborator Server ready,,True,492,220 bc-hackner-security.com Burp Collaborator Server ready,,False,838,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '213.164.30.187'. (_ssl.c:992)",True,200,456,Burp Collaborator https://burpcollaborator.net/,,,True,200,1165,Burp Collaborator https://burpcollaborator.net/,,
54.146.38.135,54.146.38.135,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,54.146.38.135,False,6080,,timed out,True,329,,,True,295,,,True,553,220 col.vatst.site Burp Collaborator Server ready,,True,454,220 col.vatst.site Burp Collaborator Server ready,,False,828,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '54.146.38.135'. (_ssl.c:992)",True,200,452,Burp Collaborator https://burpcollaborator.net/,,,True,200,1172,Burp Collaborator https://burpcollaborator.net/,,
164.92.128.50,164.92.128.50,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,164.92.128.50,False,6000,,timed out,True,337,,,True,368,,,True,568,220 dc-eu014.campnet.pl Burp Collaborator Server ready,,True,556,220 dc-eu014.campnet.pl Burp Collaborator Server ready,,False,828,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '164.92.128.50'. (_ssl.c:992)",True,200,613,Burp Collaborator https://burpcollaborator.net/,,,True,200,1290,Burp Collaborator https://burpcollaborator.net/,,
164.90.183.242,164.90.183.242,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,164.90.183.242,False,6000,,timed out,True,1256,,,True,246,,,True,575,220 vaadata.collaborator.fr Burp Collaborator Server ready,,True,555,220 vaadata.collaborator.fr Burp Collaborator Server ready,,False,831,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '164.90.183.242'. (_ssl.c:992)",True,200,487,Burp Collaborator https://burpcollaborator.net/,Vaadata's Burp Collaborator,,True,200,1395,Burp Collaborator https://burpcollaborator.net/,Vaadata's Burp Collaborator,
https://104.248.231.250:8443,104.248.231.250,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,104.248.231.250,False,6221,,timed out,True,318,,,True,303,,,True,556,220 brp.prd.rocks Burp Collaborator Server ready,,True,1557,220 brp.prd.rocks Burp Collaborator Server ready,,False,862,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '104.248.231.250'. (_ssl.c:992)",True,200,495,Burp Collaborator https://burpcollaborator.net/,,,True,200,1984,Burp Collaborator https://burpcollaborator.net/,,
52.11.119.103,52.11.119.103,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,52.11.119.103,False,3070,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,234,,,True,215,,,True,390,220 bf.gy Burp Collaborator Server ready,,True,375,220 bf.gy Burp Collaborator Server ready,,False,657,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '52.11.119.103'. (_ssl.c:992)",True,200,418,Burp Collaborator https://burpcollaborator.net/,,,True,200,1307,Burp Collaborator https://burpcollaborator.net/,,
15.160.236.199,15.160.236.199,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,15.160.236.199,False,3112,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,203,,,True,220,,,True,427,220 colab.mindedsecurity.net Burp Collaborator Server ready,,True,429,220 colab.mindedsecurity.net Burp Collaborator Server ready,,False,836,,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:992),True,200,418,Burp Collaborator https://burpcollaborator.net/,,,True,200,936,Burp Collaborator https://burpcollaborator.net/,,
150.230.10.241,150.230.10.241,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,150.230.10.241,False,3603,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,310,,,True,305,,,True,628,220 collab.baegmon.com Burp Collaborator Server ready,,True,620,220 collab.baegmon.com Burp Collaborator Server ready,,False,1009,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '150.230.10.241'. (_ssl.c:992)",True,200,624,Burp Collaborator https://burpcollaborator.net/,,,True,200,1510,Burp Collaborator https://burpcollaborator.net/,,
3.211.23.115,3.211.23.115,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,3.211.23.115,False,6007,,timed out,True,227,,,True,220,,,True,452,220 captaincrunchyshells.com Burp Collaborator Server ready,,True,439,220 captaincrunchyshells.com Burp Collaborator Server ready,,False,545,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '3.211.23.115'. (_ssl.c:992)",True,200,461,Burp Collaborator https://burpcollaborator.net/,,,True,200,987,Burp Collaborator https://burpcollaborator.net/,,
34.23.244.241,34.23.244.241,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,34.23.244.241,False,3374,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,293,,,True,272,,,True,512,220 pentestcollaborator.com Burp Collaborator Server ready,,True,531,220 pentestcollaborator.com Burp Collaborator Server ready,,False,767,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '34.23.244.241'. (_ssl.c:992)",True,200,547,Burp Collaborator https://burpcollaborator.net/,,,True,200,1216,Burp Collaborator https://burpcollaborator.net/,,
81.95.8.186,81.95.8.186,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,81.95.8.186,False,3019,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,223,,,True,250,,,True,406,220 11606-1-web.nsd.li Burp Collaborator Server ready,,True,412,220 11606-1-web.nsd.li Burp Collaborator Server ready,,False,1487,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '81.95.8.186'. (_ssl.c:992)",True,200,476,Burp Collaborator https://burpcollaborator.net/,,,True,200,1240,Burp Collaborator https://burpcollaborator.net/,,
34.237.54.93,34.237.54.93,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,34.237.54.93,False,6009,,timed out,True,224,,,True,234,,,True,466,220 col.atredinomine.com Burp Collaborator Server ready,,True,1134,220 col.atredinomine.com Burp Collaborator Server ready,,False,554,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '34.237.54.93'. (_ssl.c:992)",True,200,542,Burp Collaborator https://burpcollaborator.net/,,,True,200,2044,Burp Collaborator https://burpcollaborator.net/,,
138.68.154.32,138.68.154.32,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,138.68.154.32,False,6012,,timed out,True,267,,,True,252,,,True,516,220 c.vii.is Burp Collaborator Server ready,,True,518,220 c.vii.is Burp Collaborator Server ready,,False,878,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '138.68.154.32'. (_ssl.c:992)",True,200,581,Burp Collaborator https://burpcollaborator.net/,,,True,200,1566,Burp Collaborator https://burpcollaborator.net/,,
