输入值,主机,结论,通过项数,总项数,失败项数,通过率(%),全绿,失败项列表,DNS成功,解析IP列表,Polling主机,Polling DNS成功,Polling解析IP列表,端口53成功,端口53耗时毫秒,端口53Banner,端口53错误,端口80成功,端口80耗时毫秒,端口80Banner,端口80错误,端口443成功,端口443耗时毫秒,端口443Banner,端口443错误,端口25成功,端口25耗时毫秒,端口25Banner,端口25错误,端口587成功,端口587耗时毫秒,端口587Banner,端口587错误,端口465成功,端口465耗时毫秒,端口465Banner,端口465错误,HTTP成功,HTTP状态码,HTTP耗时毫秒,HTTP服务器,HTTP标题,HTTP错误,HTTPS成功,HTTPS状态码,HTTPS耗时毫秒,HTTPS服务器,HTTPS标题,HTTPS错误,Polling HTTP成功,Polling HTTP状态码,Polling HTTP耗时毫秒,Polling HTTP服务器,Polling HTTP标题,Polling HTTP错误,Polling HTTPS成功,Polling HTTPS状态码,Polling HTTPS耗时毫秒,Polling HTTPS服务器,Polling HTTPS标题,Polling HTTPS错误
47.128.249.247,47.128.249.247,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,47.128.249.247,polling.47.128.249.247,False,,False,2335,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,80,,,True,57,,,True,117,220 burp.cf.stagmoon.net Burp Collaborator Server ready,,True,135,220 burp.cf.stagmoon.net Burp Collaborator Server ready,,False,232,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '47.128.249.247'. (_ssl.c:992)",True,200,126,Burp Collaborator https://burpcollaborator.net/,,,True,200,377,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.47.128.249.247', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.47.128.249.247', port=80): Failed to resolve 'polling.47.128.249.247' ([Errno 11001] getaddrinfo failed)""))",False,,0,,,"HTTPSConnectionPool(host='polling.47.128.249.247', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.47.128.249.247', port=443): Failed to resolve 'polling.47.128.249.247' ([Errno 11001] getaddrinfo failed)""))"
51.38.113.4,51.38.113.4,失败,8,12,4,66.67,False,polling_dns|tcp:465|polling_http|polling_https,True,51.38.113.4,polling.51.38.113.4,False,,True,182,,,True,187,,,True,341,,,True,494,220 2ol.pw Burp Collaborator Server ready,,True,643,220 2ol.pw Burp Collaborator Server ready,,False,681,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '51.38.113.4'. (_ssl.c:992)",True,200,359,Burp Collaborator https://burpcollaborator.net/,,,True,200,1022,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.51.38.113.4', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.51.38.113.4', port=80): Failed to resolve 'polling.51.38.113.4' ([Errno 11001] getaddrinfo failed)""))",False,,0,,,"HTTPSConnectionPool(host='polling.51.38.113.4', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.51.38.113.4', port=443): Failed to resolve 'polling.51.38.113.4' ([Errno 11001] getaddrinfo failed)""))"
13.124.46.98,13.124.46.98,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,13.124.46.98,polling.13.124.46.98,False,,False,2556,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,100,,,True,107,,,True,206,220 burp.repentest.com Burp Collaborator Server ready,,True,264,220 burp.repentest.com Burp Collaborator Server ready,,False,378,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '13.124.46.98'. (_ssl.c:992)",True,200,215,Burp Collaborator https://burpcollaborator.net/,,,True,200,532,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.13.124.46.98', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.13.124.46.98', port=80): Failed to resolve 'polling.13.124.46.98' ([Errno 11001] getaddrinfo failed)""))",False,,0,,,"HTTPSConnectionPool(host='polling.13.124.46.98', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.13.124.46.98', port=443): Failed to resolve 'polling.13.124.46.98' ([Errno 11001] getaddrinfo failed)""))"
37.187.54.26,37.187.54.26,失败,8,12,4,66.67,False,polling_dns|tcp:465|polling_http|polling_https,True,37.187.54.26,polling.37.187.54.26,False,,True,342,,,True,225,,,True,310,,,True,661,220 rrm.pw Burp Collaborator Server ready,,True,577,220 rrm.pw Burp Collaborator Server ready,,False,608,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '37.187.54.26'. (_ssl.c:992)",True,200,507,Burp Collaborator https://burpcollaborator.net/,,,True,200,1267,Burp Collaborator https://burpcollaborator.net/,,,False,,21,,,"HTTPConnectionPool(host='polling.37.187.54.26', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.37.187.54.26', port=80): Failed to resolve 'polling.37.187.54.26' ([Errno 11001] getaddrinfo failed)""))",False,,1,,,"HTTPSConnectionPool(host='polling.37.187.54.26', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.37.187.54.26', port=443): Failed to resolve 'polling.37.187.54.26' ([Errno 11001] getaddrinfo failed)""))"
54.37.136.82,54.37.136.82,失败,8,12,4,66.67,False,polling_dns|tcp:465|polling_http|polling_https,True,54.37.136.82,polling.54.37.136.82,False,,True,309,,,True,384,,,True,212,,,True,615,220 iuj.pw Burp Collaborator Server ready,,True,586,220 iuj.pw Burp Collaborator Server ready,,False,1174,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '54.37.136.82'. (_ssl.c:992)",True,200,556,Burp Collaborator https://burpcollaborator.net/,,,True,200,1176,Burp Collaborator https://burpcollaborator.net/,,,False,,110,,,"HTTPConnectionPool(host='polling.54.37.136.82', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.54.37.136.82', port=80): Failed to resolve 'polling.54.37.136.82' ([Errno 11001] getaddrinfo failed)""))",False,,5,,,"HTTPSConnectionPool(host='polling.54.37.136.82', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.54.37.136.82', port=443): Failed to resolve 'polling.54.37.136.82' ([Errno 11001] getaddrinfo failed)""))"
77.42.29.165,77.42.29.165,失败,8,12,4,66.67,False,polling_dns|tcp:465|polling_http|polling_https,True,77.42.29.165,polling.77.42.29.165,False,,True,378,,,True,300,,,True,344,,,True,591,220 poc.bdef.ninja Burp Collaborator Server ready,,True,737,220 poc.bdef.ninja Burp Collaborator Server ready,,False,704,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '77.42.29.165'. (_ssl.c:992)",True,200,634,Burp Collaborator https://burpcollaborator.net/,,,True,200,1438,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.77.42.29.165', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.77.42.29.165', port=80): Failed to resolve 'polling.77.42.29.165' ([Errno 11001] getaddrinfo failed)""))",False,,1,,,"HTTPSConnectionPool(host='polling.77.42.29.165', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.77.42.29.165', port=443): Failed to resolve 'polling.77.42.29.165' ([Errno 11001] getaddrinfo failed)""))"
103.16.130.58,103.16.130.58,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,103.16.130.58,polling.103.16.130.58,False,,False,2932,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,183,,,True,177,,,True,360,220 c.tn2.au Burp Collaborator Server ready,,True,364,220 c.tn2.au Burp Collaborator Server ready,,False,766,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '103.16.130.58'. (_ssl.c:992)",True,200,363,Burp Collaborator https://burpcollaborator.net/,,,True,200,1139,Burp Collaborator https://burpcollaborator.net/,,,False,,59,,,"HTTPConnectionPool(host='polling.103.16.130.58', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.103.16.130.58', port=80): Failed to resolve 'polling.103.16.130.58' ([Errno 11001] getaddrinfo failed)""))",False,,2,,,"HTTPSConnectionPool(host='polling.103.16.130.58', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.103.16.130.58', port=443): Failed to resolve 'polling.103.16.130.58' ([Errno 11001] getaddrinfo failed)""))"
https://199.247.7.198:8443,199.247.7.198,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,199.247.7.198,polling.199.247.7.198,False,,False,3001,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,225,,,True,232,,,True,457,220 colla.yoroi.company Burp Collaborator Server ready,,True,357,220 colla.yoroi.company Burp Collaborator Server ready,,False,560,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '199.247.7.198'. (_ssl.c:992)",True,200,540,Burp Collaborator https://burpcollaborator.net/,,,True,200,1094,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.199.247.7.198', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.199.247.7.198', port=80): Failed to resolve 'polling.199.247.7.198' ([Errno 11001] getaddrinfo failed)""))",False,,1,,,"HTTPSConnectionPool(host='polling.199.247.7.198', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.199.247.7.198', port=443): Failed to resolve 'polling.199.247.7.198' ([Errno 11001] getaddrinfo failed)""))"
170.225.215.14,170.225.215.14,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,170.225.215.14,polling.170.225.215.14,False,,False,3020,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,206,,,True,217,,,True,358,220 fra.collaborator.x-force.io Burp Collaborator Server ready,,True,447,220 fra.collaborator.x-force.io Burp Collaborator Server ready,,False,604,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '170.225.215.14'. (_ssl.c:992)",True,200,356,Burp Collaborator https://burpcollaborator.net/,,,True,200,1314,Burp Collaborator https://burpcollaborator.net/,,,False,,2,,,"HTTPConnectionPool(host='polling.170.225.215.14', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.170.225.215.14', port=80): Failed to resolve 'polling.170.225.215.14' ([Errno 11001] getaddrinfo failed)""))",False,,1,,,"HTTPSConnectionPool(host='polling.170.225.215.14', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.170.225.215.14', port=443): Failed to resolve 'polling.170.225.215.14' ([Errno 11001] getaddrinfo failed)""))"
195.154.56.193,195.154.56.193,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,195.154.56.193,polling.195.154.56.193,False,,False,3076,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,210,,,True,188,,,True,427,220 bc.newtechjob.com Burp Collaborator Server ready,,True,385,220 bc.newtechjob.com Burp Collaborator Server ready,,False,648,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '195.154.56.193'. (_ssl.c:992)",True,200,501,Burp Collaborator https://burpcollaborator.net/,,,True,200,1504,Burp Collaborator https://burpcollaborator.net/,,,False,,59,,,"HTTPConnectionPool(host='polling.195.154.56.193', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.195.154.56.193', port=80): Failed to resolve 'polling.195.154.56.193' ([Errno 11001] getaddrinfo failed)""))",False,,3,,,"HTTPSConnectionPool(host='polling.195.154.56.193', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.195.154.56.193', port=443): Failed to resolve 'polling.195.154.56.193' ([Errno 11001] getaddrinfo failed)""))"
